"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id"
7.7072544182168,-0.708621470790542,0.94413136756497,-0.750553890205092,0.45292117990353,0.99993145899499,"ENSMLUG00000024324"
0,NA,NA,NA,NA,NA,"ENSMLUG00000022961"
0,NA,NA,NA,NA,NA,"ENSMLUG00000025195"
0,NA,NA,NA,NA,NA,"ENSMLUG00000023061"
7.24792589444254,1.49695327245479,0.878935609263219,1.70314327543247,0.0885412590452647,0.99993145899499,"ENSMLUG00000029951"
5.98950037058909,1.36584904354192,0.9251428539403,1.47636555557295,0.139845784206099,0.99993145899499,"ENSMLUG00000026494"
0,NA,NA,NA,NA,NA,"ENSMLUG00000005275"
0.321937439329263,-1.43303433851139,4.76130903627339,-0.300974863759947,0.763433662146338,NA,"ENSMLUG00000003451"
0.538187191288413,-2.33066480846665,3.2614529022589,-0.714609371440692,0.474850452356142,NA,"ENSMLUG00000029268"
921.48071247098,1.03111197370304,0.532082581315707,1.9378795884529,0.0526379147720432,0.99993145899499,"ENSMLUG00000015557"
0,NA,NA,NA,NA,NA,"ENSMLUG00000009133"
9.29514319520941,0.557540293525926,0.982853375987895,0.567267007620059,0.570532788672016,0.99993145899499,"ENSMLUG00000001175"
0,NA,NA,NA,NA,NA,"ENSMLUG00000022954"
0,NA,NA,NA,NA,NA,"ENSMLUG00000024795"
0.0696067576429867,1.01213593996365,6.23277661008454,0.162389253342729,0.870999333108105,NA,"ENSMLUG00000023121"
7.30346122404886,0.166657014241375,1.03511721443502,0.161003036098031,0.872091009379347,0.99993145899499,"ENSMLUG00000000106"
0.454501103340585,0.655451661992161,4.57931340865678,0.143133173796991,0.886185005771021,NA,"ENSMLUG00000022467"
0,NA,NA,NA,NA,NA,"ENSMLUG00000022316"
0.0577703524669261,1.00177665691252,6.23183959151778,0.160751354748612,0.872289240120138,NA,"ENSMLUG00000026513"
0,NA,NA,NA,NA,NA,"ENSMLUG00000028105"
0.0752293133350691,-0.911364033941734,6.23277661008454,-0.146221193371051,0.88374677548019,NA,"ENSMLUG00000027720"
27.9082387698807,-0.766035719854773,0.532974469461788,-1.43728407972025,0.150637290612561,0.99993145899499,"ENSMLUG00000015360"
0.762140057658883,-4.79823329961012,3.51551026637274,-1.3648753483974,0.17229223148762,NA,"ENSMLUG00000017251"
663.02513602548,0.0856799567873096,0.163539868231927,0.523908681801072,0.600342056042819,0.99993145899499,"ENSMLUG00000003113"
3649.09275625301,-0.0668115971617791,0.344202396434029,-0.194105554911743,0.846093232160172,0.99993145899499,"ENSMLUG00000003125"
0.528610425697952,-0.556438665913598,3.24229817271655,-0.171618597757586,0.863737385489222,NA,"ENSMLUG00000005041"
0.990628941871412,2.96742234130553,2.50906863236267,1.18267882473635,0.236936459455216,NA,"ENSMLUG00000011624"
1.66858680552594,-1.46696197637407,2.74381414114177,-0.534643347148735,0.592896503364932,NA,"ENSMLUG00000022564"
176.826813048532,0.268537111521917,0.630696701849677,0.425778525136351,0.670269236512815,0.99993145899499,"ENSMLUG00000030765"
0.322346585368107,-0.0779059238694862,4.83633021629649,-0.016108479029611,0.987147849105979,NA,"ENSMLUG00000024280"
0,NA,NA,NA,NA,NA,"ENSMLUG00000023291"
0.320384359068935,0.189297826595158,4.84241738847973,0.0390915964917653,0.968817360877765,NA,"ENSMLUG00000028135"
0.0938009629530144,1.01213593996365,6.23277661008454,0.162389253342729,0.870999333108105,NA,"ENSMLUG00000025069"
0.146392121833837,1.96353839874174,6.23183976599657,0.315081656857674,0.752699655433378,NA,"ENSMLUG00000024788"
0.619534905652905,1.6565751550923,3.42145887043407,0.484172166851779,0.628263688182201,NA,"ENSMLUG00000023618"
0,NA,NA,NA,NA,NA,"ENSMLUG00000026755"
0,NA,NA,NA,NA,NA,"ENSMLUG00000027769"
0,NA,NA,NA,NA,NA,"ENSMLUG00000023319"
43.1755291050588,-0.198398064529604,0.681313898922563,-0.291199203250298,0.770898971896772,0.99993145899499,"ENSMLUG00000023572"
1137.05905990286,-0.151054673869028,0.316264123724166,-0.477621906937419,0.632919335796925,0.99993145899499,"ENSMLUG00000017377"
0.48801587886646,0.89262851336321,4.57266065529973,0.195209874655503,0.845228648914967,NA,"ENSMLUG00000027819"
0,NA,NA,NA,NA,NA,"ENSMLUG00000024471"
0.14242357139559,0.0503952943148836,6.23277661008454,0.00808552872460481,0.993548751757345,NA,"ENSMLUG00000023987"
0.24447681641942,-0.938552045462577,6.20076581870162,-0.15136066623124,0.879691215725886,NA,"ENSMLUG00000023066"
0,NA,NA,NA,NA,NA,"ENSMLUG00000023525"
2.26681997854898,-1.77210063792887,1.81612218093637,-0.975760693047207,0.329183067652707,NA,"ENSMLUG00000023384"
0,NA,NA,NA,NA,NA,"ENSMLUG00000022712"
0.105460594315042,-0.911364033941734,6.23277661008454,-0.146221193371051,0.88374677548019,NA,"ENSMLUG00000002753"
0,NA,NA,NA,NA,NA,"ENSMLUG00000022720"
0,NA,NA,NA,NA,NA,"ENSMLUG00000015549"
571.000650821625,0.228675615555587,0.493163314105063,0.46369145679573,0.642868818881296,0.99993145899499,"ENSMLUG00000007272"
0.0913012446056062,-0.911364033941734,6.23277661008454,-0.146221193371051,0.88374677548019,NA,"ENSMLUG00000023839"
446.459061462949,0.180910882520869,0.17692867588312,1.02250741219801,0.306540806289099,0.99993145899499,"ENSMLUG00000025068"
0,NA,NA,NA,NA,NA,"ENSMLUG00000026429"
0,NA,NA,NA,NA,NA,"ENSMLUG00000020709"
1395.17261185412,-0.111475909365513,0.491091099355074,-0.226996395397736,0.820426545072417,0.99993145899499,"ENSMLUG00000005549"
164.043109601145,0.220596957503996,0.874051844723252,0.25238429371869,0.800744039085184,0.99993145899499,"ENSMLUG00000008304"
19.4916874468616,0.134093915709595,0.871234728714058,0.153912500604191,0.877678727496491,0.99993145899499,"ENSMLUG00000028879"
0,NA,NA,NA,NA,NA,"ENSMLUG00000030032"
1447.31007875153,0.2287682503323,0.362309621114157,0.631416437766138,0.52776827089678,0.99993145899499,"ENSMLUG00000016341"
0,NA,NA,NA,NA,NA,"ENSMLUG00000026143"
0,NA,NA,NA,NA,NA,"ENSMLUG00000009208"
3066.24061000712,-0.148987202544776,0.190237969965864,-0.783162281281227,0.433531821392884,0.99993145899499,"ENSMLUG00000006839"
0.686674628189293,1.52498974720632,3.662749680044,0.416351069666328,0.677153127521282,NA,"ENSMLUG00000023309"
